运营商, 大区, 用户数, 占比, 需要带宽,可用带宽,是否需要新增节点
电信, 华东,9532,39%, 27.13G,216G,否
电信, 华中,3382,13%, 9.63G,5.6G,是
电信, 西南,3240,13%, 9.22G,10.4G,否
电信, 华南,3201,13%, 9.11G,10.4G,否
电信, 西北,2442,10%, 6.95G,8.0G,否
电信, 华北,1411,5%, 4.02G,12G,否
电信, 东北,1012,4%, 2.88G,7.2G,否
电信, 其它,22,0%, 0.06G,,
移动, 华东,2830,29%, 15.58G,11.2G,是
移动, 华中,1698,17%, 9.35G,15.2G,否
移动, 华北,1362,14%, 7.50G,4G,是
移动, 华南,1065,11%, 5.86G,38.4G,否
移动, 西南,1008,10%, 5.55G,19.2G,否
移动, 东北,988,10%, 5.44G,11.2G,否
移动, 西北,588,6%, 3.24G,8.8G,否
联通, 华北,2316,27%, 7.40G,23.2G,否
联通, 华东,2008,23%, 6.42G,11.2G,否
联通, 华中,1626,19%, 5.20G,68G,否
联通, 东北,1412,16%, 4.51G,5.6G,否
联通, 西南,505,5%, 1.61G,4.8G,否
联通, 华南,461,5%, 1.47G,12G,否
联通, 西北,120,1%, 0.38G,0.6G,否
